"snippet","n.unique","entropy"
53,6,0.917517972716249
106,8,0.813228154629774
67,7,1.05212404881098
73,3,0.729221367264641
92,5,0.862047472847214
2,1,0
110,4,0.708270988485959
43,16,2.0325302571249
12,3,0.572352432904867
85,19,2.02849551684886
61,11,1.64413739493073
83,10,1.69757159001019
82,3,0.269293796077601
104,2,0.101264817566792
9,3,0.650482306643771
118,4,0.523875124027525
69,9,1.45736070359617
109,4,0.899794935591886
27,1,-4.44089209850063e-16
56,2,0.173205206749177
105,3,0.761644591107045
19,5,0.912596872877803
93,11,1.80215449017617
49,4,0.752485554820864
26,1,0
62,3,0.202086339272508
97,3,0.273573794224886
103,16,2.24430926559724
37,3,0.608079892204209
18,6,0.806173964115207
111,10,1.62711883757302
89,11,1.7139908006545
23,6,1.1031498531319
68,9,1.38555285993047
38,4,0.433129305890652
44,10,1.59252574428087
3,5,0.836409325979902
15,6,1.37264426616082
21,5,0.836752096229457
1,2,0.334142791387189
94,9,1.26104692941671
115,4,0.612947001011197
42,3,0.198821578103019
60,2,0.170529856447511
58,2,0.0996233894661613
112,11,1.42054546886127
79,6,1.5125039612354
75,3,0.747685337049492
41,5,0.395905766688905
78,7,1.00703682746734
100,1,-4.44089209850063e-16
7,3,0.481940474477595
48,6,1.27319576517757
74,1,0
17,6,1.33530118000999
50,1,0
84,10,1.47348624717534
46,3,0.328643789831673
98,2,0.173205206749177
10,2,0.329544105160137
25,2,0.101264817566792
87,9,1.59238663149632
81,10,1.53193054855688
86,16,1.53182927651808
14,4,0.373479380626154
47,11,1.4662100153866
5,3,0.650482306643771
117,3,0.708034531887626
22,3,0.506558547533813
91,10,1.53902966001174
71,2,0.506008968947429
76,2,0.329544105160137
99,2,0.282738880066873
29,4,0.743737401180311
4,3,0.380605576949748
59,2,0.170529856447511
51,8,1.06569078541345
11,2,0.645530997323954
54,1,-4.44089209850063e-16
24,9,0.919340850737239
116,4,0.678785605197271
45,10,1.11757226566125
64,7,1.01993399837497
55,2,0.334142791387189
77,6,1.48969825225337
6,3,0.650482306643771
66,5,1.05589119358674
72,1,-4.44089209850063e-16
63,21,2.29528473391702
70,1,-4.44089209850063e-16
13,6,1.21187831319837
88,12,1.91879911695374
90,9,1.0413633928845
8,1,0
30,5,0.874466185779915
65,19,2.1158233849735
57,2,0.170529856447511
80,6,0.958765702169262
52,3,0.198821578103019
20,8,1.02825514145406
16,4,0.367614045033397
28,1,-4.44089209850063e-16
120,4,0.297585517733109
95,16,1.7789828500186
108,12,1.33179100665289
102,1,-4.44089209850063e-16
119,8,1.22312038519087
101,1,-4.44089209850063e-16
113,7,1.13621556926451
107,15,1.95578407405092
96,6,0.671378825062541
114,6,0.688992013171834
